"pose_index","timestamp","yaw_deg","x","y","z","rx","ry","rz","data_file","info_file","log_folder"
"13","2025-08-14T00:47:45-05:00","-13.0","0.0028324857385626755","-0.46654284484363534","0.980010786191755","-0.24279891469564424","2.105194383524476","-2.0995396965777084","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004717.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004717.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004717"
"14","2025-08-14T00:48:15-05:00","-12.0","0.002844756140683965","-0.46653464471863193","0.9800127763297801","-0.22536612691128785","2.114848608063347","-2.1092755236259433","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004747.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004747.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004747"
"15","2025-08-14T00:48:45-05:00","-11.0","0.002832287120807731","-0.46654772178258525","0.980005891595571","-0.2076635217837604","2.124546471759877","-2.1189385825527762","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004817.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004817.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004817"
"16","2025-08-14T00:49:15-05:00","-10.0","0.002818481416004024","-0.46656553574516946","0.9799965735768361","-0.18980169549453607","2.1341916205030333","-2.1284572186576116","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004848.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004848.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004848"
"17","2025-08-14T00:49:46-05:00","-9.0","0.002831102021045865","-0.46657741062390595","0.9799955551601567","-0.17186656051420707","2.1436780618705056","-2.137956210114477","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004918.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004918.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004918"
"18","2025-08-14T00:50:16-05:00","-8.0","0.0028385800774264024","-0.4666077103709828","0.9799655923958842","-0.1538222638063691","2.1531739523349676","-2.1473835678977125","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004948.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004948.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_004948"
"19","2025-08-14T00:50:47-05:00","-7.0","0.002837253412177672","-0.46660977034823903","0.9799810438866194","-0.1355469986413072","2.16246378386294","-2.1567760652205816","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005019.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005019.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005019"
"20","2025-08-14T00:51:17-05:00","-6.0","0.002841978102594688","-0.4666645838084924","0.979946088269717","-0.11713837599950432","2.171908911494865","-2.1659664859015355","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005049.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005049.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005049"
"21","2025-08-14T00:51:47-05:00","-5.0","0.0028422154968427565","-0.46668258226812337","0.9799458833481279","-0.09858365017537232","2.181100771621851","-2.1752273287698185","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005119.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005119.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005119"
"22","2025-08-14T00:52:17-05:00","-4.0","0.002871899162778988","-0.46671141635347924","0.9799279650573509","-0.07998197318671435","2.1902525806679582","-2.184310129942551","data_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005149.csv","info_VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005149.csv","C:/Users/lloy7803/OneDrive - University of St. Thomas/2025_Summer/GUIs/MZAI_EVK_v1.0.1/data/log__VL53L8CH__AIKit__CUSTOM_CNH_8x8__20250814_005149"
